a              .6 -w
scissorhand	.sIzRh&nd -w
scissors       .sIzRz -w
scooby         .skubi -w
scoop	.skup -w
scooping	.skupIN -w
scoot	.skut -w
scooter	.skutR -w
scooting	.skutIN -w
scored	.sk#d -w
scorpion	.sk#pi~ -w
scott          .skat -w
scottish	.skOtIS -w
scramble	.skr&mbL -w
scrambled      .skr&mbLd -w
scrape	.skrep -w
scraped	.skrept -w
scraping	.skrepIN -w
scratch        .skr&c -w
scratch       .skr&c -w
scratched      .skr&ct -w
scratches      .skr&c6z -w
scratching     .skr&cIN -w
scratching     .skr&cIN -w
scratchy       .skr&ci -w
scream          .skrim -w
screaming      .skrimIN -w
screams         .skrimz -w
screech	.skric -w
screecher	.skricR -w
screen	.skrin -w
screw 	.skru -w
screwdriver	.skrudr9vR -w
screwed	.skrUd -w
screwy	.skrUwi -w	
scribble	.skrIbL -w
scribbles      .skrIbLz -w
scrub	.skrAb -w
scrubbed	.skrAbd -w
scrubbie	.skrAbi -w
scrubby	.skrAbi -w
scrumbilicious@n  .skrAmbIlIS6s -w
scrumblicious@n	.skrAmblIS6s -w 
scrumptious	.skrAmpc6s -w
scuba            .skub6 -w
scurry	.sk3i -w
sea	.si -w
seafood	.sifud -w
seagulls	.sigAlz -w
seal           .sil -w
seal's         .silz -w
sealie	.sili -w
sean	.SOn -w
search	.s3c -w
searched   .s3ct -w
seashells	.siSElz -w
seashore	.siS% -w
season	.siz~ -w
seasoning	.siz~IN -w
seasons	.siz~z -w
seat           .sit -w
seats	.sits -w
sebastian	.s6b&sc~ -w
sec            .sEk -w
second         .sEk~d -w
seconds	.sEk~dz -w
secret	.sikrEt -w
secrets	.sikrEts -w
sectioned      .sEkS~d -w
sections       .sEkS~z -w
secure	.s6ky) -w
see            .si -w
seeandsay	.si -w .&nd -w .se -w
seed .sid -w
seeds          .sidz -w
seeing .siIN -w	
seek           .sik -w
seem           .sim -w
seemed         .simd -w
seemingly	.simINli -w
seems          .simz -w
seen           .sin -w
sees           .siz -w
seesaw	.sisO -w
segment        .sEgm~t -w
seize	.siz -w	
selection      .sIlEkS~ -w
self           .sElf -w
sell          .sEl -w
selling        .sElIN -w
sells           .sElz -w
seltzer	.sEltzR -w 
semicircle     .sEmIs3kL -w
send           .sEnd -w
sending       .sEndIN -w
sends           .sEndz -w
sense          .sEns -w
sensitive	.sEnsItIv -w
sent             .sEnt -w
sentence       .sEnt~s -w
sentences      .sEnt~sIz -w
separate       .sEp6ret -w
separation     .sEp6reS~ -w
september      .sEptEmbR -w
sequential     .sIkwEnSL -w
series	.siriz -w
serious        .s(i6s -w
seriously	.siri6sli -w
serpent	.s)p~t -w
serve            .sRv -w
served          .sRvd -w
serves           .sRvz -w
service	.s)vIs -w
serving           .sRvIN -w
sesame         .sEs6mi -w
session	.sES~ -w
set            .sEt -w
setting	.sEtIN -w
settle	.sEtL -w
settled	.sEtLd -w
seuss          .sus -w
seuss's        .susIz -w
seven          .sEv~ -w
seventeen	.sEvEntin -w
seventeenth	.sEvEntinT -w
seventh	.sEvEnT -w
seventy	.sEvEnti -w
several        .sEvrL -w
sew	.so -w
sewed	.sod -w
sewer 	.suR -w
sewing   .soIN -w
sewingmachine	.soIN -w .m6Sin -w
sewn           .son -w
sews           .soz -w
sex            .sEks -w
sexual         .sEkSuL -w
sexy	.seksi -w
sgabettios .sk6bEtioz -w	
shabby         .S&bi -w
shade	.Sed -w
shades	.Sedz -w
shadow         .S&do -w
shadows	.S&doz -w
shady	.Sedi -w
shaggy 	.S&gi -w
shake          .Sek -w
shaked	.Sekt -w
shakes	.Seks -w
shaking	.SekIN -w
shaky	.Seki -w
shall          .SL -w
shallots	.S&l6ts -w
shallow	.S&lo -w
shame	.Sem -w
shampoo	.S&mpu -w
shape          .Sep -w
shaped	.Sept -w
shapes        .Seps -w
share          .S* -w
shared	.S*d -w
sharing        .S*IN -w
shark          .S#k -w
sharks         .S#ks -w
sharon	.S*~ -w 
sharp	.S#p -w
shave          .Sev -w
shaving        .SevIN -w
she            .Si -w
she'd          .Sid -w
she'll         .Sil -w
she's          .Siz -w
sheared	.S(d -w
shedding	.SEdIN -w
sheedy	.Sidi -w
sheep          .Sip -w
sheet	.SIt -w
sheets	.SIts -w
sheila	.SIl6 -w
shelby	.SElbi -w
shelf	.SElf -w
shell	.SEl -w
shells	.SElz -w
shena          .Sin6 -w
shepherd	.SEp3d -w
sheriff	.SErIf -w
sherri	.SERi -w
sherry         .S*i -w
shes	.Siz -w
shh	.S -w
shield		.Sild -w
shielded	.Sild6d -w
shift           .SIft -w
shifts         .SIfts -w
shimmering	.SImRIN
shimmy        .SImi -w
shin	.SIn -w
shine	.S9n -w
shining	.S9nIN -w
shiny	.S9ni -w
ship	.SIp 
ships	.SIps -w
shirt          .S3t -w
shirt's		.S3ts -w
shirts         .S3ts -w
shiver	.SIvR -w
shock	.Sak -w
shocked	.Sakt -w
shod	.Sad -w
shoe           .Su -w
shoe's	.Suz -w
shoelace	.Sules -w
shoelaces      .SulesIz -w
shoeless       .SulEs -w
shoes          .Suz -w
shoesies	.Suziz -w
shoestring	.SustrIN -w
shoestrings	.SustrINz -w
shook	.SUk -w
shoot	.Sut -w
shooting	.SutIN -w
shop	.Sap -w
shopper	.SapR -w
shopping       .SapIN -w
short          .S%t -w
shorter	.S%tR -w
shortly	.S%tli -w
shorts           .S%ts -w
shot	.Sat -w
shots	.Sats -w
should         .SUd -w
should've	.SUd6v -w
shoulda	.SUd6 -w	
shoulder	.SoldR -w
shoulders      .SoldRz -w
shouldn't      .SUd~t -w
shout	.SQt -w
shouted	.SQt6d -w 
shouting	.SQtIN -w
shove           .shAv -w
shoved	.Sovd -w
shovel           .shAvL -w
shoveled         .shAvL -w
shoveling         .shAvLIN -w
shovels            .shAvLz -w
show           .So -w
showed         .Sod -w
shower	.SQR -w
showing        .SoIN -w
shows	.Soz -w
shred	.SrEd -w
shrimp	.SrImp -w
shriveled	.SrIvLd -w
shut           .SAt -w
shutter	.SAtR -w
shutters	.SAtRz -w
shutting	.SAtIN -w
shy	.S9 -w
sibling	.sIblIN -w
sick           .sIk -w
sickie	.sIki -w
sid	.sId -w
side           .s9d -w
sides          .s9dz -w
sidewalk      .s9dwOk -w
sidewalks     .s9dwOks -w
sideways	.s9dwez -w
sidney	.sIdni -w
sidney's	.sIdniz -w 
sieve	.siv -w
sigh	.s9 -w
sighed	.s9d -w
sight	.s9t -w
sign            .s9n -w
signal	.sIgnL -w
signed       .s9nd -w
signs           .s9nz -w
silence	.s9lEnts -w
silent	.s9lEnt -w
silky	.sIlki -w
sill	.sIl -w
sillier	.sIliR -w
silly          .sIli -w
sillywilly	.sIli -w .wIli -w
silver	.sIlvR -w
silverware	.sIlvRw* -w
simba	.sImb6 -w
simmer      .sImR -w
simmered     .sImRd -w
simmering     .sImRIN -w
simmers         .sImRz -w
simple         .sImpL -w
simply	.sImpli -w
since          .sIns -w
sing           .sIN -w
singing     .sININ -w
sings	.sINz -w
sink	.sINk -w
sip	.sIp -w
sipped	.sIpt -w
sipper	.sIpR -w
sippie	.sIpi -w
sips	.sIps -w
sir            .s3 -w
siree	.s3i -w
siren	.s9r6n -w
sirree	.s3ri -w
sissy          .sIsi -w
sister         .sIstR -w
sister's       .sIstRz -w
sisters	.sIstRz -w
sit            .sIt -w
sits           .sIts -w
sitting        .sItIN -w
situation      .sIcueS~ -w
six            .sIks -w
sixpence	.sIkspEnts -w
sixteen	.sIkstin -w
sixteenth	.sIkstinT -w
sixty          .sIksti -w
size           .s9z -w
sized 	.s9zd -w
skanky	.sk&Nki -w
skateboard	.sketb%d -w
skateboards	.sketb%dz -w
skates	.skets -w
skating	.sketIN -w
skelter	.skEltR -w
skies	.sk9z -w 
skill	.skIl -w
skills	.skIlz -w
skin	.skIn -w
skinnier	.skIniR -w
skinny	.skIni -w
skip	.skIp -w
skipped        .skIpt -w
skips          .skIps -w
skirt	.sk3t -w
skirts	.sk3ts -w
skull	.skAl -w
skunk	.skANk -w
sky            .sk9 -w
slam          .sl&m -w
slammed    .sl&md -w
slamming   .sl&mIN -w
slams         .sl&mz -w
slapped .sl&pt -w
slash	.sl&S -w
slave 	.slev -w
sleek	.slik -w
sleep          .slip -w
sleeper	.slipR -w
sleepie        .slipi -w
sleepies	.slipiz -w
sleeping       .slipIN -w
sleeps         .slips -w
sleepy         .slipi -w
sleepyhead	.slipihEd -w
sleet             .slit -w
sleeting        .slitIN -w
sleets           .slits -w
sleeve         .sliv -w
sleeves        .slivz -w
slept	.slEpt -w
slew           .slu -w
slice	.sl9s -w
slick          .slIk -w
slid	.slId -w
slide          .sl9d -w
slides	.sl9dz -w
sliding	.sl9dIN -w
slight	.sl9t -w
slightest      .sl9tIst -w
slime	.sl9m -w
slimy	.sl9mi -w
slink	.slINk -w
slinky	.slINki -w
slip            .slIp -w
slipped       .slIpt -w
slipper	.slIpR -w
slipper's	.slIpRz -w
slippers       .slIpRz -w
slippery	.slIpRi -w
slippies   .slIpiz-w
slipping       .slIpIN -w
slippy	.slIpi -w	
slips           .slIps -w
slob	.slOb -w
slobber        .slabR -w
slobbered      .slabRd -w
slobbering     .slabRIN -w
slobbers         .slabRz -w
slobingslobingdobbin  .slabIN -w .slabIN -w .dAb~ -w
slopping	.slOpIN -w
sloppy	.slOpi -w
slosh	.slOS -w
slot	.slOt -w
slouch	.slQc -w
slouching   .slQcIN -w
slow            .slo -w
slower	.slowR -w
slowing      .slowIN -w
slowly	.sloli -w
slows           .sloz -w
slug	.slAg -w
slumber	.slAmbR -w
slumbers	.slAmbRz -w	
slurping   .sl3pIN -w
smack	.sm&k -w
smackerel   .sm&kRL -w
smackerel@c	.sm&kRL -w
smacking	.sm&kIN -w
smakerel@c	.sm&kRL -w
small          .smOl -w
smaller        .smOlR -w
smallness	.smaln6s -w	
smart          .sm#t -w
smarter	.sm#tR -w
smartest	.sm#tEst -w
smartie	.sm#ti -w
smarty	.sm#ti -w
smartypants	.sm#tip&nts -w
smashing	.sm&SIN -w
smell          .smEl -w
smelled	.smEld -w
smelling       .smElIN -w
smells         .smElz -w
smelly   .smEli -w
smile          .sm9l -w
smiled        .sm9ld -w
smiles         .sm9lz -w
smiley	.sm9li -w
smiling      .sm9lIN -w
smith	.smIT -w
smoke	.smok -w
smoky   .smoki -w
smooth	.smuT -w
smoother	.smuTR -w
smorgasbord	.Sm%g6sb%d -w
smuch	.smAc -w
smush   .smAS -w
smushed	.smASt -w
smushing	.smASIN -w
snack          .sn&k -w
snack's        .sn&ks -w
snackie	.sn&ki -w
snacking	.sn&kIN -w
snacks         .sn&ks -w
snail	.snel -w
snails	.snelz -w
snake          .snek -w
snakes	.sneks -w
snakie	.sneki -w
snap           .sn&p -w
snapped        .sn&pt -w
snappie	.sn&pi -w
snapping	.sn&pIN -w
snaps          .sn&ps -w
snatch	.sn&c -w
snatched	.sn&tct -w
sneak	.snIk -w
sneakers       .snikRz -w
sneaking	.snIkIN -w
sneaky	.snIki -w
sneeze          .sniz -w
sneezed	.snizd -w
sneezes .snizEs -w
sneezing	.snizIN -w
sniff	.snIf -w
snip	.snIp -w
snipped   .snIpt -w
snipper   .snIpR -w
snippers	.snIpRz -w
snippy	.snIpi -w
snoops	.snups -w
snooze	.snuz -w
snoring	.sn%IN -w
snort	.sn%t -w
snorting       .sn%tIN -w
snot	.snat -w
snotty	.snati -w
snow           .sno -w
snow's	.snoz -w
snowballs	.snobOlz -w
snowblower     .snobloR -w
snowed         .snod -w
snowflakes	.snofleks -w
snowing        .snoIN -w
snowman        .snom&n -w
snowman's 	.snom~z -w
snowmen	.snomEn -w
snows          .snoz -w
snowsuit	.snosut -w
snowy	.snowi -w
snuck	.snAk -w
snuff	.snAf -w
snuffy	.snAfi -w
snug	.snAg -w
snuggle	.snAgL -w
snuggled   .snAgLd -w
snuggly	.snAgli -w
so             .so -w
so@si	.so -w
soak	.sok -w
soaked	.sokt -w
soaking	.sokIN -w
soaky	.soki -w
soap	.sop -w
soappies	.sopiz -w
soapy	.sopi -w
soccer	.sakR -w
sock           .sak -w
sockie	.saki -w
sockies	.sakiz -w
socks          .saks -w
socksies   .saksiz -w
soda	.sod6 -w
sodas   .sod6z -w
sodium          .sodi6m -w
sofa	.sof6 -w
soft           .sOft -w
softball	.sOftbOl -w
softest	.sOft6st -w
softly	.sOftli -w
software       .sOftw* -w
soggy	.sagi -w
soiled	.s7Ld -w
sold	.sold -w
soldier	.solGR -w
soldiers   .solGRz -w
solid	.salId -w
solidified	.s6lId6f9d -w
solomon	.sal6m~ -w
some           .s6m -w
somebody       .sAmbadi -w
somebody's	.sAmbadiz -w
someday	.sAmde -w
somehow	.sAmhQ -w
someone        .sAmwAn -w
someone's      .sAmwAnz -w
someplace	.sAmples -w
somersault      .sAmRsOlt -w
somersaults	.sAmRsOlts -w
something      .sAmTIN -w
something's    .sAmTINz -w
sometime       .sAmt9m -w
sometimes      .sAmt9mz -w
somewhat	.sAmwAt -w
somewhere      .sAmW* -w
son                .sAn -w
song           .sON -w
songlike   .SONl9k -w
songs          .sONz -w
sonic	.sanIk
sonny	.sAni -w
sonogram	.san6gr&m -w 
sons              .sAnz -w
soon           .sun -w
sooner         .sunR -w
sophie	.sofi -w
sophisticated  .s6fIstIketId -w
sopped	.sapt -w
sorcerer	.s%cIRR -w 
sore	.s%
sorry          .s%i -w
sort           .s%t -w
sorted	.s%t6d -w
sorter	.s%tR -w
sorts          .s%ts -w
sound          .sQnd -w
sounded        .sQndId -w
sounding       .sQndIN -w
sounds         .sQndz -w
soup           .sup -w
soups	.sUps -w
soupy 	.sUpi -w
sour             .sQR -w
source	.s%s -w
south           .sQT -w
space          .spes -w
spaceship	.speSIp -w
spaghetti	.sp6gEti -w
spaghettio	.sp6gEtio -w
spaghettios	.sp6gEtioz -w
span	.sp&n -w
spanish	.sp&nIS -w
spank          .sp&Nk -w
spanked        .sp&Nkt -w
spare	.sp* -w
sparkle	.sp#kL -w
sparkly	.sp#kli -w
sparky	.sp#ki -w
sparrow	.sp*o -w
speak          .spik -w
speaker	.spikR -w
speaking       .spikIN -w
speaks         .spiks -w
special	.spESL -w
specific       .spIsIfIk -w
specks	.spEks -w
specter	.spEktR -w
spectrum	.spEktrM -w
speed	.spid -w
speeds	.spidz -w
speedy         .spidi -w
spell	.spEl -w
spelling	.spElIN -w
spend          .spEnd -w
spended       .spEnd6d -w
spends         .spEndz -w
spent	.spEnt -w	
sphere	.sf( -w
spice	.sp9s -w
spices	.sp9s6z -w
spider	.sp9dR -w
spike	.sp9k -w 
spill              .spIl -w
spilled           .spIld -w
spilling            .spIlIN -w
spills         .spIlz -w
spin	.spIn -w
spinach	.spInIc -w
spines	.sp9nz -w
spinning	.spInIN -w
spins	.spInz -w
spirit             .sp(It -w
spit           .spIt -w
spits           .spIts -w
spitting      .spItIN -w
splash	.spl&S -w
splashasplashasplasha	.spl&S6 -w .spl&S6 -w .spl&S6
splashed	.spl&St -w
splashie	.spl&Si -w
splashing	.spl&SIN -w
splat	.spl&t -w
splendid	.splEndId -w
splendor	.splEdR -w
splishiesplashie	.splISi -w .spl&Si -w
splishsplash	.splIS -w .spl&S -w	
splishysplashy	.splISi -w .spl&Si -w
split	.splIt -w
splitsplacksplash .splIt -w .spl&k -w .spl&S -w
spoil 	.sp7L -w
spoiled	.sp7ld -w
spoke	.spok -w
sponge	.spAnG -w
sponges	.spAnG6z -w
spontaneously  .spanteni6s -w
spool	.spul -w
spools         .spulz -w
spoon          .spun -w
spoonful	.spunfL -w
spoonfuls	.spunfLz -w
spoons         .spunz -w
sport	.sp%t -w
sports	.sp%ts -w
spot	.spat -w
spot's	.spats -w
spots	.spats -w
spotty	.spati -w
spout	.spQt -w
sprat	.spr&t -w
spray	.spre -w
spraying	.spreIN -w
spread	.sprEd -w
spreads	.sprEdz -w
spring         .sprIN -w
springs	.sprINz -w
springtime	.sprINt9m -w
sprinkler	.srINkLR -w
sprint	.sprInt -w	
spruce	.sprus -w
spud           .spAd -w
spunky	.spAnki -w
spy	.sp9 -w
spying  .sp9IN -w
square         .skw* -w
squares	.skw*z -w
squarular	.skw*y6lR -w
squash        .skwOS -w
squashed	.skwOSt -w
squashie       .skwOSi -w
squashies      .skwOSiz -w
squawky	.skwOki -w
squeak         .skwik -w
squeaked	.skwikt -w
squeaker	.skwikR -w
squeaking	.skwikIN -w
squeaks	.skwiks -w
squeaky	.skwiki -w
squeal	.skwil -w
squealed	.skwild -w
squeeze         .skwiz -w
squeezed       .skwizd -w
squeezes      .skwiz6z -w
squeezing      .skwizIN -w
squid	.skwId -w
squinting  .skwIntIN -w
squirm	.skw3m -w
squirming	.skw3mIN -w
squirmy	.skw3mi -w
squirrel       .skw3L -w
squirrellie	.skw3Li -w
squirrellies	.skw3Liz -w
squirrels      .skw3Lz -w
squirt	.skw3t -w
squirted	.skw3t6d -w
squirting	.skw3tIN -w
squish	.skwIS -w
squished	.skwISt -w
squishing	.skwISIN -w
squishy	.skwISi -w
ssh             .S -w
stable   .stebL -w
stack          .st&k -w
stacked        .st&kt -w
stacking       .st&kIN -w
stacks         .st&ks -w
stage          .steG -w
stages         .steGIz -w
stain	.sten -w
stair	.st*z -w
stairs          .st*z -w
stale	.stel -w
stale	.stel -w
stalking	.stOkIN -w
stall	.stOl -w
stamp	.st&mp -w
stance	.st&nts -w
stand          .st&nd -w
standing       .st&ndIN -w
standpoint	.st&ndp7nt -w
stands	.st&ndz -w
staples	.stepLz -w
star           .st# -w
starch	.st#c -w
stare	.st* -w
starfish	.st#fIS -w
staring	.st*IN -w
stars          .st#z -w
start          .st#t -w
started        .st#tId -w
starting       .st#tIN -w
startle	.st#tL -w
startled	.st#tLd -w
starts         .st#ts -w
starve          .st#v -w
starved        .st#vd -w
starves          .st#vz -w
starving        .st#vIN -w
stash	.st&S -w
static	.st&tIk -w
staticing@n  .st&tIkIN -w
staticky	.st&tIki -w
staticling@n	.st&tIk -w .klIN -w
station	.steS~ -w
statue	.st&cu -w
stay           .ste -w
stayed	.sted -w
staying	.steIN -w
stays          .stez -w
steadfast	.stEdf&st -w
steadier	.stEdiR -w
steady	.stEdi -w
steak          .stek -w
steak's        .steks -w
steal            .stil -w
stealing       .stilIN -w
steals          .stilz -w
steam          .stim -w
steamed	.stImd -w
steep	.stIp -w
steer          .st( -w
steering	.st(IN -w
stegosaurus    .stEg6s%6s -w
stem	.stEm -w
step	.stEp -w
stephanie	.stEf6ni -w
stepped	.stEpt -w
stepping	.stEpIN -w
steps           .stEps -w
stereo	.st*io -w
stereos        .st*ioz -w
steve           .stiv -w
steven	.stiv~ -w
stew	.stu -w
stick          .stIk -w
sticker	.stIkR -w
stickers  .stIkRz -w
stickie  .stIki -w
stickies	.stIkiz -w
sticking       .stIkIN -w
stickle   .stIkL -w
stickleback	.stIkLb&k -w
sticks         .stIks -w
sticky	.stIki -w
stikle	.stIkL -w
stile	.st9L -w
still          .stIl -w
stimulated	.stImyulet6d -w
sting	.stIN -w
stingy	.stInGi -w
stink         .stINk -w
stinkaroosies	.stINk6ruziz -w
stinker	.stINkR -w
stinkier	.stINkiR -w
stinkies	.stINkiz -w
stinkiest	.stINki6st -w
stinking	.stINkIN -w
stinkpot      .stINkpat -w
stinks	.stINks -w
stinky      .stINki -w
stir	.st3 -w
stirring	.st3IN -w
stitches	.stIc6z -w
stock          .stak -w
stocking	.stOkIN -w
stole	.stol -w
stomach        .stAm6k -w
stomachache	.stAm6kek -w
stomp	.stamp -w
stomped	.stampt -w
stomping	.stampIN -w
stoneham       .stonM -w
stones	.stonz -w
stood          .stUd -w
stool	.stul -w
stop           .stap -w
stopped        .stapt -w
stopper	.stapR -w
stopping	.stapIN -w
stops	.staps -w
store          .st% -w
stores         .st%z -w
stories        .st%iz -w
storm          .st%m -w
stormy	.st#mi -w
story          .st%i -w
storybook	.st#ibUk -w
stout	.stQt -w
stove          .stov -w
straight       .stret -w
straighten	.stret6n -w
straightened	.stret6nd -w
straightens	.stret6nz -w
straining	.strenIN -w
strange        .strenG -w
stranger	.strenGR -w
strap          .str&p -w
strapped     .str&pt -w
straps         .str&ps -w
straw	.strO -w
strawberries   .strOb*iz -w
strawberry     .strOb*i -w
streaks	.strIks -w
stream	.strIm -w
street         .strit -w
streetlight     .stritl9t -w
streetlights    .stritl9ts -w
streets        .strits -w
strength	.strENT -w
strengthening	.strENT6nIN -w
stress           .strEs -w
stressed        .strEst -w
stretch	.strEc -w
stretches	.strEc6z -w
stretching	.strEcIN -w
strike	.str9k -w
string	.strIN -w
stringing	.strININ -w
strings        .strINz -w
strip 	.strIp -w
stripe	.str9p -w
striped        .str9pt -w
stroke	.strok -w
stroll	.strol -w
stroller       .strolR -w
strong          .stON -w
stronger       .strONR -w
struck	.strAk -w
structure      .strAkcR -w
struggle       .strAgL -w
struggled	.strAgLd -w
strum	.strAm -w
stubborn	.stAb3n -w
stuck          .stAk -w
studies       .stAdiz -w
studio	.studio -w
study           .stAdi -w
studying	.stAdiIN -w
stuff          .stAf -w
stuffed        .stAft -w
stuffy	.stAfi -w
stung	.stAN -w
stupid         .stupId -w
sturdy	.st3di -w
stutter	.stAtR -w
style             .st9l -w
styling	.st9lIN -w
stylish	.st9lIS -w
styrofoam	.st9r6fom -w
sub	.sAb -w
subject        .sAbGIkt -w
substitute	.sAbstItut -w
substituted    .sAbstItutId -w
succeed	.sAksid -w		
successful     .s6ksEsfL -w
successfully	.sAksEsfLi -w
such           .sAc -w
suchi          .suci -w
suck              .sAk -w
sucked           .sAkt -w
sucker	.sAkR -w
sucking        .sAkIN -w
sucks          .sAks -w
suction	.sAkS~ -w
sudden         .sAd~ -w
suddenly       .sAd~li -w
suds	.sAdz -w
sudsies	.sAdsiz -w
sudsy	.sAdsi -w
sue            .su -w
sued           .sud -w
sues           .suz -w
sugar          .SUgR -w
sugarpie	.SUgRp9 -w
suggest	.s6GEst -w
suggestion     .s6gGEsc~ -w
suing         .suIN -w
suit           .sut -w
suitcase	.sutkes -w
suits          .suts -w
sultan  .sAlt~ -w
sultan's	.sAlt~z -w
sultans	.sAlt~z -w
sultans's  .sAlt~z6z -w
summer         .sAmR -w
summer's	.sAmRz -w
summers        .sAmRz -w
summertime	.sAmRt9m -w
summoned	.sAm~d -w
sumpin	.sAmpIn -w
sun            .sAn -w
sun's	.sAnz -w
sunblock	.sAnblOk -w
sunburn	.sAnb3n -w
sunday	.sAnde -w
sunflower      .sAnflQR -w
sunflowers	.sAnflQRz -w
sunglasses	.sAngl&sIz -w
sunny	.sAni -w
sunscreen	.sAnskrin -w
sunscreens	.sAnskrInz -w
sunshine	.sAnS9n -w
suntan	.sAnt&n -w
super          .supR -w
superman	.supRm&n -w
supper         .sApR -w
supper's	.sApRz -w
supplement	.sApl6m~t -w
supplies	.sApl9z -w
supply         .s6pl9 -w
suppose	.sApoz -w
supposed       .s6pozd -w
sure           .S3 -w
surely	.s3li -w
surface        .s3fIs -w
surprise	.s3pr9z -w
surprised      .sRpr9zd -w
surprising	.s3pr9zIN -w
surrounded	.s3Qnd6d -w
survey	.s3ve -w
survive	.s3v9v -w
survivor	.s3v9vR -w
susan	.suz~ -w
susie          .suzi -w
suspender	.sAspEndR -w
suspenders     .s6spEndR -w
suspicious	.sAspIS6s -w
susy           .suzi -w
suzie          .suzi -w
suzy           .suzi -w
swallow       .swalo -w
swallowed    .swalod -w
swallowing    .swalowIN -w
swallows        .swaloz -w
swam	.sw&m -w
swan	.swan -w
swans	.swanz -w
swear	.sw* -w
swearie	.sw*i -w
sweat          .swEt -w
sweater        .swEtR -w
sweaters       .swEtRz -w
sweatpants    .swEtp&nts -w
sweatshirt	.swEtS3t -w
sweatshirts   .swEtS3ts -w
sweatsuit	.swEtsut -w
sweaty	.swEti -w
sweep	.swip -w
sweeped	.swipt -w
sweepie	.swipi -w
sweeping	.swipIN -w
sweeps	.swips -w	
sweet          .swit -w
sweeta	.swit6 -w
sweeterpeters	.switR -w .pitRz -w
sweeters	.switRz -w
sweeterspeters	.switRz -w .pitRz -w
sweetest	.swit6st -w
sweetheart     .swith#t -w
sweetie         .switi -w
sweetiepie	.switi -w .p9 -w
sweetiepies	.switi -w .p9z -w
sweeties	.switiz -w
sweetiest	.switiEst -w
sweetpea	.swit -w .pi -w
sweets	.swits -w
sweetsies	.switsiz -w
sweetum	.switAm -w
sweetums	.switAmz -w
swell	.swEl -w
swell	.swEl -w
swelling	.swElIN -w
swelling	.swElIN -w
swept	.swEpt -w
swim           .swIm -w
swimmer	.swImR -w
swimming       .swImIN -w
swimmingpool	.swImIN -w .pul -w
swims	.swImz -w
swimsuit	.swImsUt -w
swing          .swIN -w
swingie	.swINgi -w
swinging       .swININ -w
swings         .swINz -w
swish	.swIS -w
switch	.swIc -w
switched	.swIct -w
swollen	.swol~ -w
swoosh	.swUS -w
sydney's	.sIdniz -w
sylvester	.sIlvEstR -w
symbiotic      .sImbiatIk -w
symphony        .sImf6ni -w
syndrome	.sIndrOm -w
synthesized	.sInT6s9zd -w
syrup	.s(Ap -w
system	.sIstM -w
t                .ti -w
t@l            .ti -w
ta             .ta -w
tab	.t&b -w
tabitha	.t&bIT6 -w
tabitha's	.t&bIT6z -w
table          .tebL -w
tablecloth	.tebLklaT -w
tablespoon	.tebLspun -w
tabs          .t&bz -w
tad	.t&d -w
tadah	.t6da -w
tag	.t&g -w
tags	.t&gz -w	
tail           .tel -w
tail's	.tela -w
tails	.telz -w
take           .tek -w
taken          .tek~ -w
takes          .teks -w
taking         .tekIN -w
talk           .tOk -w
talkative      .tOk6tIv -w
talked         .tOkt -w
talker	.tOkR -w
talking        .tOkIN -w
talks          .tOks -w
tall           .tOl -w
taller	.tOLR -w
tallest	.tOlEst -w
tambourine	.t&mb3in -w
tan	.t&n -w
tangerine        .t&nGRin -w
tangerines        .t&nGRinz -w
tangled	.t&NgLd -w
tangling       .t&NglIN -w
tanish          .t&nIS -w
tank           .t&Nk -w
tantrum	.t&ntrAm -w
tantrums	.t&ntrAmz -w
tap           .t&p -w
tape           .tep -w
taped	.tept -w
tapemeasure	.tepmEs) -w
taperecorded	.teprEc%dEd -w
taperecording	.teprEc%dIN -w
tapes	.teps -w
taping	.tepIN -w	
tapioca          .t&piok6 -w
tapped      .t&pt -w
tapping     .t&pIN -w
taps            .t&ps -w
tar	.t# -w
target	.t#g6t -w
tart            .t&t -w
tarts           .t%ts -w
tarzan	.t#z~ -w
tasmanian	.t&zmeni~ -w
taste          .test -w
tasted	.test6d -w
tastes         .tests -w
tasting	.testIn -w
tasty          .testi -w
tata           .t&t& -w
tata's         .t&t&z -w
tata@q	.tOtO -w
taters	.tetRz -w
tattoos	.t&tuz -w
taught         .tOt -w
taxi	.t&ksi -w
taxis	.t&ksiz -w
taz	.t&z -w
tea            .ti -w
teach          .tic -w
teacher        .ticR -w
teacher's	.tIcRz -w
teaching       .ticIN -w
team	.tim -w
teapot	.tipat -w
tear           .t( -w
tearing	.t*IN -w
tears          .t(z -w
teas           .tiz -w
teasing	.tizIN -w
teaspoon	.tispun -w
teaspoonfuls	.tispunfLz -w
technical	.tEknIkL -w
technically	.tEknIkli -w
teddies	.tEdiz -w
teddy         .tEdi -w
tee             .ti -w
teefers	.tifRz -w
teenager	.tineGR -w
teenie	.tini -w
teensie	.tinsi -w
teeny	.tini -w
teenyweeny	.tiniwini -w
teepy	.tipi -w
teeth          .tiT -w
teether	.tiTR -w
teethers	.tiTRz -w
teethie	.tiTi -w
teethies	.tiTiz -w
teething	.tiTIN -w
telemarketing	.tEl6m#kEtIN -w
telephone      .tEl6fon -w
telephone's    .tEl6fonz -w
telephones	.tEl6fonz -w
teletubbies     .tEl6tAbiz -w
teletubby        .tEl6tAbi -w
television     .tEl6vIZ~ -w
televisions    .tEl6vIZ~z -w
