a	x
mopping	mapIG
mops	maps
mopsy	mapsi
more	mcr
morgan	mcrgG
morgan's	mcrgGz
morgie	mcrgi
morgie's	mcrgiz
morning	mcrnIG
moses	mozxs
mosquito	mxskito
mosquitos	mxskitoz
moss	mas
most	most
mostest	mostEst
mostly	mostli
mother	m^DR
mother's	m^DRz
motherland	m^DRl@nd
mothers	m^DRz
moths	mcTs
motive	motIv
motor	motR
motorbike	motRbYk
motorcycle	motRsYkxl
mount	mWnt
mountain	mWntxn
mountains	mWntxnz
mountaintop	mWntxntap
mouse	mWs
mouse's	mWsxz
mouses	mWsxz
mousie	mWsi
mouth	mWT
mouthful	mWTfxl
mouthie	mWTi
mouthing	mWTIG
mouthpiece	mWTpis
mouths	mWDz
move	muv
moved	muvd
movement	muvmEnt
movements	muvmEnts
moves	muvz
movie	muvi
movies	muviz
moving	muvIG
mow	mo
mower	mowR
mowing	mowIG
ms	xmz
much	m^C
mud	m^d
muddy	m^di
mufasa	mufasx
muffet	m^fxt
muffin	m^fIn
muffins	m^fInz
mug	m^g
mugs	m^gz
mulan	mulan
mulberry	mxlbEri
mules	myulz
multicolored	m^ltik^lRz
multiple	m^ltIpxl
multitalented	m^ltit@lxntxd
mum	m^m
mumbling	m^mblIG
mummy	m^mi
munch	m^nC
munchkin	m^nCkIn
muppet	m^pIt
muppets	m^pIts
murphy	mRfi
muscleman	m^sxlm@n
muses	muzEz
museum	myuzixm
mush	m^S
mushed	m^St
mushing	m^SIG
mushroom	m^Srum
mushrooms	m^Srumz
mushy	m^Si
music	myuzIk
musical	musikxl
muskrats	m^skr@ts
must	m^st
mustache	m^st@S
mustard	m^stRd
mustn't	m^sxnt
mutilate	myutxlet
my	mY
myself	mYsElf
mystery	mIstRi
n	En
n@l	En
nah	na
nail	nel
nails	nelz
naked	nekxd
nala	nalx
name	nem
name's	nemz
named	nemd
names	nemz
naming	nemIG
nan	n@n
nan's	n@nz
nana	n@nx
nana's	nanxz
nananana	nanxnanx
nap	n@p
napkin	n@pkIn
napkins	n@pkInz
nappie	n@pi
nappies	n@piz
napping	n@pIG
nappy	n@pi
naps	n@ps
naptime	n@ptYm
nas	naz
nasty	n@sti
nathan	neTxn
nation	neSxn
nations	neSxnz
natural	n@tUrxl
naturally	n@Crxli
naughty	ncti
nautilus	nctIlxs
navigate	n@vxget
navy	nevi
near	nIr
nearby	nIrbY
nearer	nIrR
nearly	nIrli
neat	nit
neatest	nitEst
neatly	nitli
neato	nito
necessarily	nEsxsErxli
necessary	nEsxsEri
neck	nEk
necklace	nEklIs
necklaces	nEklxsxz
neckties	nEktYz
ned	nEd
need	nid
needed	nidId
needing	nidIG
needle	nidxl
needs	nidz
negative	nEgxtIv
neglecting	nxglEktIG
neigh	ne
neighbor	nebR
neighbor's	nebRz
neighborhood	nebRhUd
neighborly	nebRli
neighbors	nebRz
neither	niDR
nellie	nEli
neon	nian
nephew	nEfyu
nephew's	nEfyuz
nerve	nRv
nerves	nRvz
nervous	nRvxs
nest	nEst
nesting	nEstIG
nests	nEsts
net	nEt
neuter	nutR
neutral	nutrxl
never	nEvR
new	nu
newborns	nubarnz
newport	nupcrt
news	nUz
newspaper	nuzpepR
newt	nUt
next	nEkst
nibbled	nIbxld
nice	nYs
nicely	nYsli
nicer	nYsR
nick	nIk
nickel	nIkxl
nickelodeon	nIkxlodixn
nicole	nIkoxl
niece	nis
nigerians	nYJIrixnz
night	nYt
night's	nYts
nightgown	nYtgWn
nightgowns	nYtgWnz
nightie	nYti
nightlight	nYtlYt
nightmare	nYtmEr
nightnight	nYtnYt
nights	nYts
nightshirt	nYtSRt
nighttime	nYttYm
nilly	nIli
nine	nYn
nineteen	nYntin
ninety	nYndi
ninja	nInJx
nino	nino
ninth	nYnT
nipple	nIpxl
nixie	nIksi
no	no
noah	nox
noah's	noxz
noba@c	nobx
nobody	nobadi
nobody's	nobadiz
nodded	nadxd
nodding	nadIG
noggin	nagIn
noise	nOz
noises	nOzIz
noisy	nOzi
none	n^n
nonexistent	nanIgzIstxnt
nono	nono
nonono@si	nonono
nononoing	nononoIG
noodle	nudxl
noodles	nudxlz
nookcase@n	nUkes
noontime	nUntYm
nope	nop
nopes	nops
nopie	nopi
nor	nar
normal	ncrmxl
normally	ncrmxli
north	narT
nose	noz
nosed	nozd
nosedives	nozdYvz
noses	nozIz
nosey	nozi
nosie	nozi
not	nat
note	not
notes	nots
nothing	n^TIG
nothing's	n^TIGz
notice	notIs
noticed	notIst
notices	notIsxz
noticing	notIsIG
novelty	navxlti
november	novEmbR
now	nW
nowhere	nowEr
nudieper	nudipR
nudist	nudIst
nugget	n^gEt
nuggets	n^gEts
nuhuh	n^^
nuisance	nusEnts
num	n^m
number	n^mbR
numbers	n^mbRz
nummies	n^miz
nummy	n^mi
numnum	n^mn^m
nurse	nRs
nursery	nRsxri
nurses	nRsIz
nursing	nRsIG
nut	n^t
nutcracker	n^tkr@kR
nutrient	nutrixnt
nutritional	nutrISxnxl
nutritious	nutrISxs
nuts	n^ts
nutty	n^ti
o	o
o'clock	xklak
o'clocker	oklakR
o'clocks	xklaks
o@l	o
o@l-s	o
oatmeal	otmil
oats	ots
obedient	obidiEnt
obekaybe	obikebi
obey	obe
obi	obi
obi's	obiz
obie	obi
objects	abJIks
observed	xbzRvd
observing	xbzRvIG
obsessed	xbsEst
obtained	xbtend
obvious	abvixs
obviously	abvixsli
occasion	xkeSxn
occasionally	xkeZxnxl
occurred	xkRd
ocean	oSxn
octagon	aktxgan
october	aktobR
octopi	aktxpY
octopus	aktxp^s
odd	ad
of	xv
off	cf
off@n	af
offensive	xfEnsIv
offer	afR
offered	afRd
offers	cfRz
offhand	cfh@nd
office	cfIs
official	xfISxl
officially	xfISxli
often	cfxn
oh	o
ohio	ohYo
oil	Oxl
oiled	Old
oink	OGk
oink@o	OGk
oinkoink	OGkOGk
ointment	OntmEnt
ok	oke
okay	oke
okeydokey	okidoki
old	old
olden	oldxn
older	oldR
olive	alIv
olives	alIvz
olivia	xlIvix
omega	omEgx
on	an
once	w^ns
one	w^n
one's	w^nz
ones	w^nz
onesie	w^nsi
onie	w^ni
onion	^nyxn
onions	^nyxnz
online	anlYn
only	onli
onsie	w^nsi
onsies	w^nsiz
onto	antu
oop	up
oops	ups
oopsadaisy	upsxdezi
oopsadaisys	upsxdeziz
oopsie	upsi
oopsiedoozies	upsiduziz
oopsiedoozy	upsiduzi
oopsies	upziz
op@c	ap
open	opxn
opened	opxnd
opener	opxnR
opening	opxnIG
opens	opxnz
operation	apxreSxn
operator	cpRatR
opinion	xpInyxn
opportunity	apRtunIti
opposed	xpozd
opposite	apxzIt
opposites	apxsIts
option	apCG
options	apCGz
or	cr
orange	crInJ
oranges	crInJxz
orangish	crInJIS
orangutan	cr@Ggxt@n
order	crdR
ordered	crdRd
ordering	crdRIG
orderly	crdRli
ordinary	crdInEri
organize	crgxnYz
organized	crgxnYzd
originally	xrIJxnxli
orioles	criolz
ornaments	crnxmEnts
orphan	crfxn
orthodontic	crTxdantIk
orthodontics	crTxdantIks
orthodontist	crTxdantIst
orthodontist's	crTxdantIsts
orthodontists	crTxdantIsts
oscar	askR
oscar's	askRz
ostrich	astrIC
otay	ote
other	^DR
others	^DRz
otherwise	^DRwYz
ouch	WC
ouchie	WCi
ouchies	WCiz
ought	ct
oughtta	ctx
ounce	Wnts
ounces	Wntsxz
our	ar
ours	arz
ourself	arsElf
out	Wt
outdoor	Wtdcr
outdoors	Wtdcrz
outer	WtR
outfit	WtfIt
outgrown	Wtgron
outlaw	Wtlc
outlet	WtlEt
outlets	WtlEts
outrageous	WtreJxs
outside	WtsYd
outtalk	Wttck
oval	ovxl
oven	^vxn
over	ovR
overalls	ovRclz
overboard	ovRbcrd
overflow	ovRflo
overflowing	ovRfloIG
overload	ovRlod
overnight	ovRnYt
overtime	ovRtYm
overzealous	ovRzEl^s
ow	W
owe	o
owie	Wi
owl	Wxl
owl's	Wxlz
owls	Wxlz
own	on
owned	ond
owner	onR
owowow@o	WWW
oyster	OstR
p	pi
p@l	pi
pacie	pesi
pacifier	p@sIfYR
pacifiers	p@sIfYR
pack	p@k
package	p@kxJ
packages	p@kxJxz
packed	p@kt
packet	p@kEt
packing	p@kIG
packs	p@ks
pad	p@d
pad's	p@dz
paddy	p@di
page	peJ
paged	peJd
pager	peJR
pages	peJIz
paging	peJIG
paid	ped
pail	pel
pain	pen
painful	penfxl
paint	pent
painted	pentxd
painting	pentIGz
pair	pEr
pairs	pErz
pajama	pxJamx
pajamaies	pxjamxz
pajamas	pxJ@mxz
pal	p@xl
palace	p@lIs
paly	peli
pamper	p@mpR
pamper's	p@mpRz
pampers	p@mpRz
pan	p@n
pancake	p@nkek
pancakes	p@nkeks
panda	p@ndx
panicked	p@nIkt
pans	p@nz
pant	p@nt
panther	p@nTR
panties	p@ntiz
panting	p@ntIG
pantry	p@ntri
pants	p@nts
pantsie	p@ntsi
pantsies	p@ntsiz
papa	papx
papaya	pxpYyx
paper	pepR
papers	pepRz
paperwork	pepRwRk
papou	pxpu
parade	pxred
parading	pxredIG
paranoid	pErxnOd
parcheesi	parCizi
pardon	pardxn
parents	pErEnts
parents's	pErEntsxz
park	park
parked	parkt
parkie	parki
parlor	parlR
parrot	pErxt
parsnipie	parsnIpi
parsnips	parsnIps
part	part
participate	partIsIpet
particular	pRtIkyxlR
particularly	partICulRli
parting	partIG
partner	partnR
parts	parts
party	parti
pass	p@s
passed	p@st
passenger	p@sEnJR
passes	p@sIz
passing	p@sIG
password	p@swRd
past	p@st
pasta	pastx
paste	pest
pasty	pesti
pat	p@t
patch	p@C
patched	p@Ct
patches	p@Cxz
patching	p@CIG
patchy	p@Ci
path	p@T
patience	peSxnts
patient	peSxnt
patients	peSxnnts
patio	p@tio
patrice	pxtris
patrick	p@trIk
patricks	p@triks
pats	p@ts
patted	p@tId
patterns	p@tRnz
patting	p@tIG
patty	p@ti
pattycake	p@tikek
pattycaking	p@tikekIG
pattytake	p@titek
paul	pcl
paul's	pclz
paula	pclx
pause	pcz
paused	pczd
pausing	pczIG
pavement	pevmxnt
pavilioned	pxvIlyxnd
paw	pc
paws	pcz
pay	pe
paycheck	peCEk
payed	ped
paying	peIG
payment	pemxnt
payments	pemxnts
payperview	pepRvyu
pea	pi
peace	pIs
peaceful	pIsfxl
peach	piC
peaches	piCxz
peanut	pin^t
peanutbutter	pin^tb^tR
peanuts	pin^ts
pear	pEr
pearie	pEri
pearl	pRl
pearly	pRli
pears	pErz
peary	pEri
peas	piz
pedals	pEdxlz
pedialyte	pidixlYt
pee	pi
peed	pid
peeing	piIG
peek	pik
peeka	pikx
peekaboo	pikxbu
peeks	piks
peel	pil
peeled	pild
peeling	pilIG
peels	pilz
peep	pip
peeped	pipt
peepee	pipi
peepees	pipiz
peeping	pipIG
peers	pIrz
pees	piz
peeyou	piyu
peeyoustinky	piyustIGki
peg	pEg
pegasus	pEgasxs
pegger	pEgR
peggie	pEgi
pegs	pEgz
pen	pEn
pencil	pEnsxl
pencils	pEnsxlz
penguin	pEGgwIn
penguins	pEGgwInz
penney	pEni
pennies	pEniz
penny	pEni
pens	pEnz
pentagon	pEntxgan
peonies	pixniz
peony	pixni
people	pipxl
people's	pipxlz
pepe	pepe
pepper	pEpR
pepper's	pEpRz
peppers	pEpRz
pepsi	pEpsi
per	pR
percent	pRsEnt
perfect	pRfIkt
perfectly	pRfIktli
perform	pRfcrm
performed	pRfcrmd
performer	pRfcrmR
performing	pRfcrmIG
performs	pRfcrmz
perfume	pRfyum
perhaps	pRh@ps
period	pIrixd
permission	pRmISxn
peroxide	pRaksYd
perpendicular	pRpxndIkyxlR
persistent	pRsIstEnt
person	pRsxn
person's	pRsxnz
personal	pRsxnxl
personality	pRsxn@lIti
personnel	pRsxnEl
perspective	pRspEktIv
perspiration	pRspReSxn
pesky	pEski
pester	pEstR
pet	pEt
petal	pEtxl
petals	pEtlz
pete	pit
peter	pitR
peter's	pitRz
pets	pEts
petted	pEtxd
petting	pEtIG
phil	fIl
phillip	fIlIp
philosophy	fIlasofi
phone	fon
phone's	fonz
phones	fonz
phonics	faniks
phony	foni
photo	foto
photogenic	fotogEnIk
photographic	fotogr@fIk
photosynthesis	fotosInTesIs
phrase	frez
piano	pi@no
picachu	pikaCu
pick	pIk
picked	pIkt
picking	pIkIG
pickle	pIkxl
pickles	pIkxlz
picks	pIks
picky	pIki
picnic	pIknIk
picnics	pIknIks
picture	pIkCR
pictures	pIkCRz
pie	pY
piece	pis
pieces	pisIz
pies	pYz
pig	pIg
pigeon	pIJxn
pigeons	pIJxn
piggie	pIgi
piggies	pIgiz
piggy	pIgi
piggy's	pIgiz
piglet	pIglIt
piglet's	pIglEts
piglets	pIglEts
pigpen	pIgpEn
pigs	pIgz
pigtail	pIgtexl
pike	pYk
pile	pYl
piles	pYlz
pillow	pIlo
pillows	pIloz
pin	pIk
pina	pinx
pinch	pInC
pinched	pInCt
pinchie	pInCi
pinching	pInCIG
pine	pYn
pineapple	pYn@pxl
pineapples	pYn@pxlz
pinecones	pYnkonz
pink	pIGk
pinkie	pIGki
pinky	pIGki
pinnochio	pInokio
pins	pInz
pinto	pInto
pipe	pYp
piper's	pYpRz
piping	pYpIG
pipsqueak	pIpskwik
pissant@n	pIs@nt
pissy	pIsi
pit	pIt
pitched	pICt
pitcher	pItCR
pitiful	pItifxl
pizza	pIzx
pjs	piJez
place	ples
placed	plest
places	plesxz
plain	plen
plainly	plenli
plan	pl@n
plane	plen
planet	pl@nIt
planing	plenIG
plant	pl@nt
planted	pl@ntxd
plants	pl@nts
plastic	pl@stIk
plate	plet
plates	plets
platinum	pl@txnxm
platter	pl@tR
play	ple
played	pled
player	pleR
playful	plefxl
playground	plegrWnd
playgroup	plegrup
playhouse	plehWs
playing	pleIG
playoffs	plecfs
playpen	plepEn
playpenie	plepEni
playroom	plerum
plays	plez
playtex	pletEks
playtime	pletYm
pleasant	plEzxnt
please	pliz
pleased	plizd
pleasure	plEZR
plenty	plEnti
plop	plap
plops	plaps
plow	plW
plug	pl^g
plugged	pl^gd
plugs	pl^gz
plum	pl^m
plums	pl^mz
plunged	pl^nJd
plus	pl^s
pluto	pluto
pochahontas	pokxhantxs
pocket	pakIt
pocketbook	pakItbUk
pockets	pakIts
pod	pad
point	pOnt
pointed	pOntId
pointer	pOntR
pointers	pOntRz
pointing	pOntIG
points	pOnts
pointy	pOnti
poison	pOsIn
poisonous	pOsinxs
poke	pok
pokecenter	poksEntR
poked	pokt
pokefood	pokfud
pokemon	pokiman
pokes	poks
pokey	poki
pokie	poki
poking	pokIG
polar	polR
pole	pol
poles	polz
police	pxlis
policeman	pxlIsmxn
policy	palIsi
polish	palIS
polished	palISt
polishes	palISxz
polishing	palISIG
polite	pxlYt
politely	pxlYtli
polkadot	polkxdat
polo	polo
polyester	paliEstR
pond	pand
pony	poni
ponytail	ponitel
poo	pu
poo's	puz
poodle	pudxl
pooh	pu
pooh's	puz
poohs	puz
pooie	pui
pookie	puki
pool	pul
poop	pup
poopie	pupie
poopied	pupId
poopies	pupIz
pooping	pupIG
poopoo	pupu
poopoos	pupuz
poops	pups
poopsie	pupsi
poopsie^boo	pupsibu
poopsieboo	pupsibu
poor	pUr
poos	puz
pop	pap
popbeads	papbidz
popcorn	papkcrn
popeye	papY
popped	papt
poppetypoppoppop	papEtipappappap
popping	papIG
poppy	papi
popsicle	papsIkxl
popular	papyulR
popup	pap^p
porch	parC
porcupine	parkyxpYn
porridge	parIJ
portfolio	pcrtfolio
porthole	pcrthol
pose	poz
poser	pozR
posies	poziz
position	posISxn
positive	pazxtIv
possible	pasxbxl
possibly	pasxbli
possums	pas^mz
post	post
posted	postxd
poster	postR
posting	postIG
posts	posts
posy	posi
pot	pat
potato	pxteto
potatos	pxtetoz
potent	potxnt
potholder	patholdR
potpourri	potpori
pots	pats
potted	patId
potter	patR
potty	pati
pottytrain	patitren
pouch	pWC
pouches	pWCxz
pouncy	pWntsi
pound	pWnd
pounding	pWndIG
pounds	pWndz
pour	par
poured	pard
pouring	pcrIG
pours	parz
pouting	pWtIG
pouty	pWti
pow	pW
powder	pWdR
powells	pWlz
power	pWR
powerful	pWrfxl
practically	pr@ktICxli
practice	pr@ktIs
practicing	pr@ktIsIG
prairie	prEri
praise	prez
praised	prezd
pray	pre
prayer	prer
prayers	prerz
precious	prESxs
precisely	prIsYsli
prefer	prIfR
prefers	prIfRz
pregnant	prEgnxnt
prehistoric	prihIstcrIk
premiums	primi^mz
preparation	prEpxr@Sxn
prepare	prIpEr
preschool	priskul
prescription	prxskrIpSxn
prescriptions	prxskripSxnz
presence	prEzxnts
present	prEzxnt
presents	prEzxnts
preserver	prIzRvR
press	prEs
pressed	prEst
pressing	prEsIG
pressure	prESR
pretend	prItEnd
pretending	prItEndIG
prettier	prItiR
pretties	prItis
pretty	prIti
pretzel	prEtzxl
pretzels	prEtzxlz
prevents	prIvEnts
price	prYs
prick	prIk
pricked	prIkt
prickly	prIkli
primarily	prYmErxli
primary	prYmEri
prime	prYm
prince	prInts
princess	prInsEs
principle	prInsxpxl
printed	prIntxd
prior	prYR
priority	prYarIti
private	prYvxt
privilege	prIvxlxJ
prize	prYz
pro	pro
probably	prabxli
problem	prablxm
problems	prablxmz
procedure	prxsiJR
process	prcsIs
produce	produs
produced	produst
product	prad^kt
products	prad^kts
professor	profEsR
profiling	profYlIG
program	progr@m
project	praJEkt
projects	praJEkts
promise	pramIs
promised	pramIst
promises	pramIsIz
promote	prxmot
pronunciation	prxn^nsieSxn
proof	pruf
propeller	propElR
proper	prapR
properly	prapRli
protect	protEkt
protected	protEktId
protecting	protEktIG
protection	protEkSxn
protein	protin
protest	protEst
protesting	protEstIG
proud	prWd
prove	prUv
provider	prxvYdR
proving	pruvIG
prowl	prWxl
prunes	prunz
psalm	zalm
psalms	zalmz
psghettios	pskEtioz
psycho	sYko
publish	p^blIS
pucker	p^kR
puckering	p^kRIG
pudding	pUdIG
puddle	p^dxl
puddleduck	p^dxld^k
puddles	p^dxlz
puddy	p^di
puff	p^f
puffed	p^ft
pull	pUl
pulled	pUld
pulling	pUlIG
pullover	pUlovR
pulls	pUlz
pumba	pumbx
pump	p^mp
pumpkin	p^mpkIn
pumpkins	p^mpkInz
punch	p^nC
punishment	p^nISmxnt
punkin	p^nkin
punky	p^nki
pup	p^p
puppet	p^pIt
puppets	p^pIts
puppies	p^piz
puppy	p^pi
puppy's	p^piz
puppydog	p^pidcg
pups	p^ps
purchase	pRCIs
purifier	pRIfYR
purple	pRpxl
purpose	pRpxs
purr	pR
purse	pRs
push	pUS
pushed	pUSt
pushes	pUSxz
pushing	pUSIG
pushovers	pUSovRz
pussycat	pUsiC@t
put	pUt
puts	pUts
putted	pUtEd
putting	pUtIG
puzzle	p^zxl
puzzles	p^zxlz
q@l	kyu
qrs@k	kyuarEs
quack	kw@k
quackeroo	kw@kxru
quacking	kw@kIG
quackquack	kw@kkw@k
quail	kwel
quails	kwelz
quality	kwclIti
quarrel	kwcrxl
quarter	kwartR
quarters	kwartRz
quasimodo	kwazimodo
queeka	kwikx
queekie	kwiki
queekiemoo	kwikimu
queekola	kwikolx
queekster	kwikstR
queen	kwin
quesadillas	kEsxdiyxz
question	kwEsCxn
questionable	kwEsCxnxbxl
questioning	kwesCxnIG
quick	kwIk
quickly	kwIkli
quiet	kwYIt
quieter	kwYItR
quietly	kwYEtli
quietness	kwYEtnxs
quilt	kwIlt
quilts	kwIlts
quincy	kwInsi
quit	kwIt
quite	kwYt
quitter	kwItR
quiver	kwIvR
quivering	kwIvRIG
quiz	kwIz
quizzed	kwIzd
quote	kwot
r	ar
r@l	ar
rabbit	r@bIt
rabbit's	r@bits
rabbits	r@bIts
raccoon	r@kun
raccoon's	r@kunz
raccoons	rxkunz
race	res
raced	rest
races	resxz
raceway	reswe
racing	resIG
radiator	redietR
radio	redio
radio's	redioz
radios	redioz
radish	r@dIS
rag	r@g
raggedy	r@gIdi
rags	r@gz
rahab	rxhab
rail	rexl
railing	rexlIG
railroad	rexlrod
rain	ren
rainbow	renbo
raincoat	renkot
raindrops	rendraps
rained	rend
raineth	renIT
raining	renIG
rains	renz
rainy	reni
raise	rez
raisin	rezIn
raisinbran	rezInbr@n
raising	rezIG
raisins	rezInz
rake	rek
ram	r@m
ramble	r@mbxl
rambling	rxmblIG
ramen	ramxn
ramshacking	r@mS@kIG
ran	r@n
ranch	r@nC
rang	r@G
range	r@nJ
rap	r@p
rap's	r@ps
rapped	r@pt
rapping	r@pIG
raps	r@ps
rarely	rErli
rascal	r@skxl
rash	r@S
rashes	r@SEz
raspberry	r@zbEri
rat	r@t
rather	r@DR
rats	r@ts
rattle	r@txl
rattles	r@txlz
rattly	r@tli
raven	revxn
ravens	revxnz
ray	re
raying	reyIG
raymond	remxnd
rays	rez
razor	razR
re@si	re
reach	riC
reached	riCt
reaches	riCxz
reaching	riCIG
react	ri@kt
read	rid
reading	ridIG
reads	ridz
ready	rEdi
real	ril
realistic	rixlIstIk
realize	rixlYz
realized	rixlYzd
really	rili
reapplied	riaplYd
rear	rIr
rearrange	ri^renJ
rearranged	ri^renJd
rearranges	ri^renJxz
rearranging	ri^renJIG
reason	rizxn
reassured	rixSRd
reattach	rixt@C
rebuild	ribIld
receipt	rIsit
receipts	rIsits
receive	rIsiv
received	rIsivd
receiver	rIsivR
receives	rIsivz
receiving	rIsivIG
recently	risxntli
recharges	riCarJxz
recite	rIsYt
recognize	rEkxgnYz
recognizes	rEkxgnYzIz
recognizing	rEkxgnYzIG
recommended	rEkxmEndId
record	rEkRd
recorded	rEkcrdxd
recorder	rIkcrdR
recorder's	rEkcrdRz
recordie	rEkcrdi
recording	rIkcrdIG
recordings	rIkcrdIGz
records	rEkRdz
recovered	rEk^vRd
rectangle	rEkt@Ggxl
recyclable	risYklxbxl
recycling	risYkxlIG
red	rEd
redhead	rEdhEd
redid	ridId
redo	ridu
reference	rEfrxns
refill	rifIl
reflection	rEflEkSxn
refraction	rEfr@kSxn
refrigerant	rEfrIJRxnt
refrigerator	rIfrIJxretR
refuge	rEfuJ
refused	rifUzd
regarding	rigardIG
reggie	rEJi
register	rEJIstR
registered	rEJIstRd
registering	rEJIstRIG
registers	rEJIstRz
regressing	rIgrEsIG
regular	rEgyxlR
regularly	rEgyxlRli
regulate	rEgulet
regurgitated	rEgRJItetxd
reindeer	rendIr
rejected	rEJEktxd
rejoice	riJOs
relate	rIlet
related	riletxd
relationship	rIleSxnSIp
relax	rIl@ks
relaxed	rIll@kst
relaxing	rIl@ksIG
relay	rile
released	rIlIst
relieves	rIlivz
religious	rIlIJ^s
relocate	riloket
remco	rEmko
remedy	rEmxdi
remember	rImEmbR
remembered	rImEmbRd
remembers	rImEmbRz
remifasolatido@si	rEmifasolatido
remind	rImYnd
reminded	rImYndId
reminding	rImYndIG
reminds	rImYndz
remote	rImot
remove	rImuv
removed	rImuvd
renewed	rinud
rent	rEnt
rented	rEntxd
renting	rEntIG
rents	rEnts
repaint	ripent
repairman	ripErm@n
repeat	rIpit
repeated	rIpitId
repeating	rIpitIG
repetition	rEpItISxn
replace	riples
replant	ripl@nt
replied	riplYd
reply	riplY
report	ripcrt
reported	ripcrtxd
repot	ripat
representative	rEprizEntxtIv
reptar	rEptar
republic	rip^blIk
requires	riKwYRz
rescue	rEskyu
rescued	rEskyud
rescues	rEskyuz
resealable	risilxbxl
resistant	rEsIstxnt
respect	rxspEkt
respond	rIspand
responding	rxspandIG
response	rIspans
rest	rEst
restaurant	rEstRant
resting	rEstIG
restrain	rIstren
restrained	rIstrend
result	rIz^lt
resulted	rIz^ltxd
resulting	rIz^ltIG
results	rIz^lts
retarded	ritardxd
retardo	rItardo
retired	ritYRd
return	rItRn
returned	rItRnd
returning	rItRnIG
returns	rItRnz
reunion	riyuny^n
reveal	rIvil
reversal	rIvRsxl
reverse	rIvRs
reversible	rIvRsIbxl
review	rIvyu
reward	rIwcrd
rex	rEks
rhinoceros	rYncsErxs
rhinoceroses	rYncsErxsxz
rhyme	rYm
rhymes	rYmz
rhyming	rYmIG
rhythm	rITxm
ribbet	rIbIt
ribbon	rIbxn
ribbons	rIbxnz
ribs	rIbz
rice	rYs
rich	rIC
richard	rICRd
rick	rIk
ricky	rIki
rid	rId
ride	rYd
riders	rYdRz
rides	rYdz
ridiculous	rIdIkyxlxs
riding	rYdIG
right	rYt
rightie	rYti
ring	rIG
ringer	rIGgR
ringing	rIGIG
rings	rIGz
rinse	rInts
rinsed	rIntst
rinsing	rIntsIG
rip	rIp
ripe	rYp
ripped	rIpt
ripping	rIpIG
rips	rIps
risen	rIzxn
river	rIvR
rivers	rIvRz
road	rod
roadblock	rodblak
roadrunner	rodr^nR
roads	rodz
roaming	romIG
roar	rcr
roast	rost
robbin's	rcbInz
robert	rcbRt
roberts	rcnRts
robin	rcbIn
robitussin	robit^sIn
rock	rak
rockandroll	rak@ndrol
rocker	rakR
rockers	rakRz
rocketship	rakEtSIp
rockie	rcki
rocking	rakIG
rockingchair	rckIGCEr
rockinghorse	rckIGhcrs
rocks	raks
roll	rol
rolled	rold
roller	rolR
rolling	rolIG
rolls	rolz
rolypoly	rolipoli
rommy	rami
romper	rampR
ron	rcn
roo	ru
roof	ruf
roofing	rufIG
room	rum
room's	rumz
rooms	rumz
roomy	rumi
roosteen	rustin
rooster	rustR
roosters	rustRz
root	rut
rope	rop
rose	roz
roses	rozIz
rosey	rozi
rosie	rozi
rosies	roziz
ross	rcs
rosy	rozi
rote	rot
rotten	rctxn
rough	r^f
rougher	r^fR
round	rWnd
router	rWtR
routine	rutin
routines	rutinz
rove	rov
rover	rovR
row	ro
roy	rO
rub	r^b
rubbed	r^nd
rubber	r^bR
rubbery	r^bRi
rubbing	r^bIG
rubs	r^bz
ruby	rubi
rude	rud
ruffle	r^fxl
ruffly	r^fxli
rug	r^g
rugrat	r^gr@t
rugrats	r^gr@ts
rugs	r^gz
ruin	ruIn
rule	rul
rules	rulz
rumbling	r^mblIG
run	r^n
runaway	r^nxwe
runner	r^nR
running	r^nIG
runny	r^ni
runs	r^nz
rush	r^S
rushed	r^St
rushing	r^SIG
russell	r^sxl
rustles	r^stxlz
rustling	r^stxlIG
rutabaga	rUtxbegx
ryan	rYxn
rye	rY
s	Es
s@l	Es
sad	s@d
sadly	s@dli
safe	sef
safer	sefR
safest	sefEst
safety	sefti
said	sEd
sailboat	selbot
sailed	seld
sailing	selIG
sailor	selR
sailors	selRz
saint	sent
sakes	seks
salad	s@lxd
salads	s@lxdz
sale	sel
sally	s@li
salmon	s@mxn
salsa	sclsx
salt	sclt
salvation	s@lveSxn
sam	s@m
samantha	sxm@nTx
same	sem
samich	s@mIC
sammy	s@mi
sample	s@mpxl
sampling	s@mpxlIG
samuel	s@myUxl
sand	s@nd
sandal	s@ndxl
sandals	s@ndxlz
sandman	s@ndm@n
sandwich	s@ndwIC
sandy	s@ndi
sang	s@G
sanitize	s@nItYz
santa	s@ntx
santas	s@ntxz
sara	s@rx
sarah	s@rx
sat	s@t
satisfied	s@tIsfYd
satisfies	s@tIsfYz
satisfy	s@tIsfY
satisfying	s@tIsfYIG
saturday	s@tRde
sauce	scs
saucer	scsR
saucers	scsRz
sauces	scsxz
sausage	scsEJ
save	sev
saved	sevd
saves	sevz
saving	sevIG
savings	sevIGz
saw	sc
say	se
saybut	seb^t
saychugga@o	seC^gx
saying	seIG
says	sEz
scale	skexl
scamper	sk@mpR
scare	skEr
scarecrow	skErkro
scared	skErd
scarf	skarf
scaring	skErIG
scarry	skEri
scary	skEri
scary's	skEriz
scattering	sk@tRIG
scene	sIn
scenes	sInz
scent	sEnt
schedule	skEJUl
scheduled	skEJxld
schedules	skEJxlz
scheduling	skEJxlIG
